-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us     677.210ms        93.60%     677.210ms      30.782ms           0 B           0 B           0 B           0 B            22  
autograd::engine::evaluate_function: torch::autograd...         1.53%      13.160ms         3.53%      30.290ms      82.309us       0.000us         0.00%     497.485ms       1.352ms           0 B           0 B           0 B           0 B           368  
                                       c10d::allreduce_         0.04%     336.115us         0.16%       1.382ms      86.355us       0.000us         0.00%     495.344ms      30.959ms           0 B           0 B           0 B           0 B            16  
                                     record_param_comms         0.09%     773.030us         0.12%       1.046ms      65.348us     495.344ms        68.46%     495.344ms      30.959ms           0 B           0 B           0 B           0 B            16  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     495.344ms        68.46%     495.344ms      30.959ms           0 B           0 B           0 B           0 B            16  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      32.461ms         4.49%      32.461ms      16.231ms           0 B           0 B           0 B           0 B             2  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us      28.903ms         3.99%      28.903ms      14.451ms           0 B           0 B           0 B           0 B             2  
                                          ProfilerStep*        15.42%     132.294ms        66.09%     567.072ms     283.536ms       0.000us         0.00%      13.038ms       6.519ms           0 B      -2.63 MB       1.00 MB     -55.93 MB             2  
                                               aten::mm         0.58%       4.998ms         0.86%       7.421ms      26.130us      12.156ms         1.68%      12.156ms      42.803us           0 B           0 B     561.89 MB     561.89 MB           284  
    autograd::engine::evaluate_function: AddmmBackward0         0.17%       1.488ms         1.35%      11.594ms     107.356us       0.000us         0.00%       9.731ms      90.105us           0 B           0 B     176.69 MB    -242.00 MB           108  
