-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      27.711ms        57.28%      27.711ms      13.855ms           0 B           0 B           0 B           0 B             2  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us      25.612ms        52.94%      25.612ms      12.806ms           0 B           0 B           0 B           0 B             2  
                                          ProfilerStep*        42.68%      71.063ms        64.30%     107.055ms      53.528ms       0.000us         0.00%      15.164ms       7.582ms           0 B      -2.63 MB       1.00 MB     -53.81 MB             2  
                                               aten::mm         2.97%       4.949ms         4.35%       7.239ms      25.489us      13.765ms        28.45%      13.765ms      48.468us           0 B           0 B     561.04 MB     561.04 MB           284  
    autograd::engine::evaluate_function: AddmmBackward0         0.84%       1.401ms         6.68%      11.117ms     102.933us       0.000us         0.00%      10.854ms     100.497us           0 B           0 B     179.60 MB    -239.12 MB           108  
                        DistributedDataParallel.forward         4.20%       6.986ms        15.70%      26.138ms      13.069ms       0.000us         0.00%       9.757ms       4.878ms         576 B           0 B     407.44 MB    -251.05 MB             2  
                                         AddmmBackward0         0.55%     913.946us         4.61%       7.680ms      71.107us       0.000us         0.00%       9.269ms      85.822us           0 B           0 B     418.30 MB           0 B           108  
autograd::engine::evaluate_function: torch::autograd...         1.74%       2.896ms         6.72%      11.185ms      30.393us       0.000us         0.00%       8.564ms      23.271us           0 B           0 B           0 B           0 B           368  
                                           aten::linear         0.36%     600.554us         4.36%       7.260ms      54.999us       0.000us         0.00%       7.084ms      53.664us           0 B           0 B     219.67 MB           0 B           132  
                                       c10d::allreduce_         0.17%     282.482us         0.69%       1.154ms      72.100us       0.000us         0.00%       6.969ms     435.533us           0 B           0 B           0 B           0 B            16  
